case_id;backend;model;stage;raw_stage;evidence_regime;has_tests;tests_total;tests_passed;oracle_ref;model_marker;governed_decision;marker_extracted;marker_strict_format;latency_s;input_tokens;output_tokens;total_tokens;policy_path;policy_stage;policy_blockers;policy_text_signals;overclaim_detected;overclaim_fixed;failure_signal;error_category;test_group;model_vs_oracle;governance_vs_oracle;model_vs_governance
OP095;openai;gpt-5.2;S1;S1;oracle;VERDADEIRO;2;0;FALSO;FALSO;FALSO;VERDADEIRO;VERDADEIRO;5;2146;153;2299;oráculo_testes;S1;pendência|pede_ação;;FALSO;FALSO;VERDADEIRO;E1_INPUT;A2;TN;correct;agree_false
OP096;openai;gpt-5.2;S1;S1;oracle;VERDADEIRO;1;0;FALSO;FALSO;FALSO;VERDADEIRO;VERDADEIRO;3;1407;102;1509;oráculo_testes;S1;;;FALSO;FALSO;VERDADEIRO;E6_OTHER_FAIL;A2;TN;correct;agree_false
OP097;openai;gpt-5.2;S1;S1;no_oracle;FALSO;0;0;;VERDADEIRO;FALSO;VERDADEIRO;VERDADEIRO;2;1533;78;1611;regras_estágio_texto;S1;pede_ação;afirma_correcao|elogio;VERDADEIRO;FALSO;FALSO;NO_TESTS;A1;NA;NA;M+/D-
OP098;openai;gpt-5.2;S2;S2;oracle;VERDADEIRO;3;1;FALSO;FALSO;FALSO;VERDADEIRO;FALSO;3;1638;127;1765;oráculo_testes;S2;pede_ação;;FALSO;FALSO;VERDADEIRO;E3_MATH;A3;TN;correct;agree_false
OP099;openai;gpt-5.2;S4;S4;oracle;VERDADEIRO;2;2;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;2;1526;91;1617;oráculo_testes;S4;;afirma_correcao|elogio;VERDADEIRO;FALSO;FALSO;E7_OK;A4;TP;correct;agree_true
OP100;openai;gpt-5.2;S1;S1;oracle;VERDADEIRO;2;0;FALSO;FALSO;FALSO;VERDADEIRO;VERDADEIRO;4;1410;130;1540;oráculo_testes;S1;pendência|pede_ação;;FALSO;FALSO;VERDADEIRO;E1_INPUT;A2;TN;correct;agree_false
OP001;gemini;gemini-3-flash-preview;S3;S3;oracle;VERDADEIRO;3;2;FALSO;FALSO;FALSO;VERDADEIRO;VERDADEIRO;2;1627;108;1735;oráculo_testes;S3;pendência|pede_ação;;FALSO;FALSO;VERDADEIRO;E6_OTHER_FAIL;A3;TN;correct;agree_false
OP002;gemini;gemini-3-flash-preview;S4;S4;oracle;VERDADEIRO;3;3;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;2;1742;70;1812;oráculo_testes;S4;;elogio;VERDADEIRO;FALSO;FALSO;E7_OK;A4;TP;correct;agree_true
OP003;gemini;gemini-3-flash-preview;S4;S4;oracle;VERDADEIRO;2;2;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;1;1693;76;1769;oráculo_testes;S4;pede_ação;afirma_correcao|elogio;VERDADEIRO;FALSO;FALSO;E7_OK;A4;TP;correct;agree_true
OP004;gemini;gemini-3-flash-preview;S4;S4;oracle;VERDADEIRO;2;2;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;2;1434;65;1499;oráculo_testes;S4;pendência;elogio;VERDADEIRO;FALSO;FALSO;E7_OK;A4;TP;correct;agree_true
OP005;gemini;gemini-3-flash-preview;S1;S1;no_oracle;FALSO;0;0;;FALSO;FALSO;VERDADEIRO;VERDADEIRO;1;1616;81;1697;json_flag;S1;negação;;FALSO;FALSO;FALSO;NO_TESTS;A1;NA;NA;agree_false
OP006;gemini;gemini-3-flash-preview;S3;S3;oracle;VERDADEIRO;2;1;FALSO;FALSO;FALSO;VERDADEIRO;VERDADEIRO;2;1807;112;1919;oráculo_testes;S3;pede_ação;;VERDADEIRO;VERDADEIRO;VERDADEIRO;E6_OTHER_FAIL;A3;TN;correct;agree_false
OP007;gemini;gemini-3-flash-preview;S4;S4;oracle;VERDADEIRO;2;2;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;2;1736;71;1807;oráculo_testes;S4;;elogio;VERDADEIRO;FALSO;FALSO;E7_OK;A4;TP;correct;agree_true
OP008;gemini;gemini-3-flash-preview;S3;S3;oracle;VERDADEIRO;3;2;FALSO;FALSO;FALSO;VERDADEIRO;VERDADEIRO;2;1550;144;1694;oráculo_testes;S3;pendência|pede_ação;;FALSO;FALSO;VERDADEIRO;E3_MATH;A3;TN;correct;agree_false
OP009;gemini;gemini-3-flash-preview;S3;S3;oracle;VERDADEIRO;2;1;FALSO;FALSO;FALSO;VERDADEIRO;VERDADEIRO;2;1583;97;1680;oráculo_testes;S3;;;FALSO;FALSO;VERDADEIRO;E1_INPUT;A3;TN;correct;agree_false
OP010;gemini;gemini-3-flash-preview;S3;S3;oracle;VERDADEIRO;3;2;FALSO;FALSO;FALSO;VERDADEIRO;VERDADEIRO;2;1638;139;1777;oráculo_testes;S3;pendência;;FALSO;FALSO;VERDADEIRO;E6_OTHER_FAIL;A3;TN;correct;agree_false
OP011;gemini;gemini-3-flash-preview;S2;S2;oracle;VERDADEIRO;3;1;FALSO;FALSO;FALSO;VERDADEIRO;VERDADEIRO;2;1598;106;1704;oráculo_testes;S2;;;FALSO;FALSO;VERDADEIRO;E2_TYPE;A3;TN;correct;agree_false
OP012;gemini;gemini-3-flash-preview;S3;S3;oracle;VERDADEIRO;3;2;FALSO;FALSO;FALSO;VERDADEIRO;VERDADEIRO;2;1729;138;1867;oráculo_testes;S3;pede_ação;afirma_correcao;FALSO;FALSO;VERDADEIRO;E6_OTHER_FAIL;A3;TN;correct;agree_false
OP013;gemini;gemini-3-flash-preview;S4;S4;oracle;VERDADEIRO;2;2;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;2;1525;78;1603;oráculo_testes;S4;;elogio;VERDADEIRO;FALSO;FALSO;E7_OK;A4;TP;correct;agree_true
OP014;gemini;gemini-3-flash-preview;S3;S3;oracle;VERDADEIRO;2;1;FALSO;FALSO;FALSO;VERDADEIRO;VERDADEIRO;2;1580;112;1692;oráculo_testes;S3;pede_ação;;FALSO;FALSO;VERDADEIRO;E1_INPUT;A3;TN;correct;agree_false
OP015;gemini;gemini-3-flash-preview;S1;S1;no_oracle;FALSO;0;0;;FALSO;FALSO;VERDADEIRO;VERDADEIRO;2;1546;92;1638;json_flag;S1;;;FALSO;FALSO;FALSO;NO_TESTS;A1;NA;NA;agree_false
OP016;gemini;gemini-3-flash-preview;S4;S4;oracle;VERDADEIRO;2;2;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;1;1565;68;1633;oráculo_testes;S4;;elogio;VERDADEIRO;FALSO;FALSO;E7_OK;A4;TP;correct;agree_true
OP017;gemini;gemini-3-flash-preview;S4;S4;oracle;VERDADEIRO;2;2;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;1;1452;62;1514;oráculo_testes;S4;;elogio;VERDADEIRO;FALSO;FALSO;E7_OK;A4;TP;correct;agree_true
OP018;gemini;gemini-3-flash-preview;S4;S4;oracle;VERDADEIRO;2;2;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;2;1481;74;1555;oráculo_testes;S4;;elogio;VERDADEIRO;FALSO;FALSO;E7_OK;A4;TP;correct;agree_true
OP019;gemini;gemini-3-flash-preview;S1;S1;oracle;VERDADEIRO;2;0;FALSO;FALSO;FALSO;VERDADEIRO;VERDADEIRO;2;1755;86;1841;oráculo_testes;S1;pendência|pede_ação;;FALSO;FALSO;VERDADEIRO;E6_OTHER_FAIL;A2;TN;correct;agree_false
OP020;gemini;gemini-3-flash-preview;S1;S1;no_oracle;FALSO;0;0;;VERDADEIRO;FALSO;VERDADEIRO;VERDADEIRO;1;1525;55;1580;regras_estágio_texto;S1;pendência;elogio;VERDADEIRO;FALSO;FALSO;NO_TESTS;A1;NA;NA;M+/D-
OP021;gemini;gemini-3-flash-preview;S3;S3;oracle;VERDADEIRO;2;1;FALSO;FALSO;FALSO;VERDADEIRO;VERDADEIRO;2;1622;119;1741;oráculo_testes;S3;pede_ação;;FALSO;FALSO;VERDADEIRO;E6_OTHER_FAIL;A3;TN;correct;agree_false
OP022;gemini;gemini-3-flash-preview;S4;S4;oracle;VERDADEIRO;2;2;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;1;1536;60;1596;oráculo_testes;S4;;elogio;VERDADEIRO;FALSO;FALSO;E7_OK;A4;TP;correct;agree_true
OP023;gemini;gemini-3-flash-preview;S1;S1;no_oracle;FALSO;0;0;;FALSO;FALSO;VERDADEIRO;VERDADEIRO;2;1648;78;1726;json_flag;S1;;;FALSO;FALSO;FALSO;NO_TESTS;A1;NA;NA;agree_false
OP024;gemini;gemini-3-flash-preview;S1;S1;no_oracle;FALSO;0;0;;FALSO;FALSO;VERDADEIRO;VERDADEIRO;2;1612;89;1701;json_flag;S1;;;FALSO;FALSO;FALSO;NO_TESTS;A1;NA;NA;agree_false
OP025;gemini;gemini-3-flash-preview;S1;S1;no_oracle;FALSO;0;0;;FALSO;FALSO;VERDADEIRO;VERDADEIRO;2;1604;77;1681;json_flag;S1;pendência;;FALSO;FALSO;FALSO;NO_TESTS;A1;NA;NA;agree_false
OP026;gemini;gemini-3-flash-preview;S1;S1;no_oracle;FALSO;0;0;;FALSO;FALSO;VERDADEIRO;VERDADEIRO;2;1527;77;1604;json_flag;S1;;;FALSO;FALSO;FALSO;NO_TESTS;A1;NA;NA;agree_false
OP027;gemini;gemini-3-flash-preview;S1;S1;oracle;VERDADEIRO;2;0;FALSO;FALSO;FALSO;VERDADEIRO;VERDADEIRO;1;1492;59;1551;oráculo_testes;S1;;;FALSO;FALSO;VERDADEIRO;E6_OTHER_FAIL;A2;TN;correct;agree_false
OP028;gemini;gemini-3-flash-preview;S4;S4;oracle;VERDADEIRO;3;3;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;1;1534;68;1602;oráculo_testes;S4;;elogio;VERDADEIRO;FALSO;FALSO;E7_OK;A4;TP;correct;agree_true
OP029;gemini;gemini-3-flash-preview;S4;S4;oracle;VERDADEIRO;2;2;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;1;1702;81;1783;oráculo_testes;S4;pendência;elogio;VERDADEIRO;FALSO;FALSO;E7_OK;A4;TP;correct;agree_true
OP030;gemini;gemini-3-flash-preview;S1;S4;no_oracle;FALSO;0;0;;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;1;1786;53;1839;regras_estágio_texto;S1;;afirma_correcao|elogio;VERDADEIRO;FALSO;FALSO;NO_TESTS;A1;NA;NA;agree_true
OP031;gemini;gemini-3-flash-preview;S1;S1;oracle;VERDADEIRO;2;0;FALSO;FALSO;FALSO;VERDADEIRO;VERDADEIRO;1;1418;71;1489;oráculo_testes;S1;pendência;;FALSO;FALSO;VERDADEIRO;E2_TYPE;A2;TN;correct;agree_false
OP032;gemini;gemini-3-flash-preview;S1;S1;no_oracle;FALSO;0;0;;VERDADEIRO;FALSO;VERDADEIRO;VERDADEIRO;1;1481;58;1539;regras_estágio_texto;S1;;;FALSO;FALSO;FALSO;NO_TESTS;A1;NA;NA;M+/D-
OP033;gemini;gemini-3-flash-preview;S1;S1;no_oracle;FALSO;0;0;;FALSO;FALSO;VERDADEIRO;VERDADEIRO;2;1616;75;1691;json_flag;S1;pede_ação;;FALSO;FALSO;FALSO;NO_TESTS;A1;NA;NA;agree_false
OP034;gemini;gemini-3-flash-preview;S1;S1;no_oracle;FALSO;0;0;;FALSO;FALSO;VERDADEIRO;VERDADEIRO;2;1394;86;1480;json_flag;S1;pede_ação;;FALSO;FALSO;FALSO;NO_TESTS;A1;NA;NA;agree_false
OP035;gemini;gemini-3-flash-preview;S4;S4;oracle;VERDADEIRO;3;3;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;1;1432;72;1504;oráculo_testes;S4;;elogio;VERDADEIRO;FALSO;FALSO;E7_OK;A4;TP;correct;agree_true
OP036;gemini;gemini-3-flash-preview;S3;S3;oracle;VERDADEIRO;2;1;FALSO;FALSO;FALSO;VERDADEIRO;VERDADEIRO;2;1532;152;1684;oráculo_testes;S3;pede_ação;;FALSO;FALSO;VERDADEIRO;E1_INPUT;A3;TN;correct;agree_false
OP037;gemini;gemini-3-flash-preview;S4;S4;oracle;VERDADEIRO;2;2;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;2;1759;80;1839;oráculo_testes;S4;pendência;elogio;VERDADEIRO;FALSO;FALSO;E7_OK;A4;TP;correct;agree_true
OP038;gemini;gemini-3-flash-preview;S4;S4;oracle;VERDADEIRO;2;2;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;1;1369;65;1434;oráculo_testes;S4;;elogio;VERDADEIRO;FALSO;FALSO;E7_OK;A4;TP;correct;agree_true
OP039;gemini;gemini-3-flash-preview;S4;S4;oracle;VERDADEIRO;1;1;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;2;1593;68;1661;oráculo_testes;S4;;elogio;VERDADEIRO;FALSO;FALSO;E7_OK;A4;TP;correct;agree_true
OP040;gemini;gemini-3-flash-preview;S4;S4;oracle;VERDADEIRO;3;3;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;1;1584;69;1653;oráculo_testes;S4;;elogio;VERDADEIRO;FALSO;FALSO;E7_OK;A4;TP;correct;agree_true
OP041;gemini;gemini-3-flash-preview;S3;S3;oracle;VERDADEIRO;2;1;FALSO;FALSO;FALSO;VERDADEIRO;VERDADEIRO;2;1758;115;1873;oráculo_testes;S3;pede_ação;;VERDADEIRO;VERDADEIRO;VERDADEIRO;E6_OTHER_FAIL;A3;TN;correct;agree_false
OP042;gemini;gemini-3-flash-preview;S4;S4;oracle;VERDADEIRO;3;3;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;2;1686;68;1754;oráculo_testes;S4;pendência;elogio;VERDADEIRO;FALSO;FALSO;E7_OK;A4;TP;correct;agree_true
OP043;gemini;gemini-3-flash-preview;S4;S4;oracle;VERDADEIRO;2;2;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;2;1551;76;1627;oráculo_testes;S4;pendência;elogio;VERDADEIRO;FALSO;FALSO;E7_OK;A4;TP;correct;agree_true
OP044;gemini;gemini-3-flash-preview;S1;S1;oracle;VERDADEIRO;2;0;FALSO;FALSO;FALSO;VERDADEIRO;VERDADEIRO;1;1450;98;1548;oráculo_testes;S1;;afirma_correcao;FALSO;FALSO;VERDADEIRO;E3_MATH;A2;TN;correct;agree_false
OP045;gemini;gemini-3-flash-preview;S3;S3;oracle;VERDADEIRO;2;1;FALSO;FALSO;FALSO;VERDADEIRO;VERDADEIRO;2;1675;119;1794;oráculo_testes;S3;pede_ação;;FALSO;FALSO;VERDADEIRO;E6_OTHER_FAIL;A3;TN;correct;agree_false
OP046;gemini;gemini-3-flash-preview;S1;S1;no_oracle;FALSO;0;0;;VERDADEIRO;FALSO;VERDADEIRO;VERDADEIRO;2;1540;68;1608;regras_estágio_texto;S1;;elogio;VERDADEIRO;FALSO;FALSO;NO_TESTS;A1;NA;NA;M+/D-
OP047;gemini;gemini-3-flash-preview;S1;S1;oracle;VERDADEIRO;3;0;FALSO;FALSO;FALSO;VERDADEIRO;VERDADEIRO;2;1953;75;2028;oráculo_testes;S1;;;FALSO;FALSO;VERDADEIRO;E1_INPUT;A2;TN;correct;agree_false
OP048;gemini;gemini-3-flash-preview;S1;S1;no_oracle;FALSO;0;0;;FALSO;FALSO;VERDADEIRO;VERDADEIRO;2;1438;79;1517;json_flag;S1;pendência|pede_ação;;FALSO;FALSO;FALSO;NO_TESTS;A1;NA;NA;agree_false
OP049;gemini;gemini-3-flash-preview;S4;S4;oracle;VERDADEIRO;2;2;VERDADEIRO;FALSO;VERDADEIRO;VERDADEIRO;VERDADEIRO;1;1574;80;1654;oráculo_testes;S4;;elogio;VERDADEIRO;FALSO;FALSO;E7_OK;A4;FN;correct;M-/D+
OP050;gemini;gemini-3-flash-preview;S1;S1;oracle;VERDADEIRO;2;0;FALSO;FALSO;FALSO;VERDADEIRO;VERDADEIRO;1;1433;72;1505;oráculo_testes;S1;pendência|pede_ação;;VERDADEIRO;VERDADEIRO;VERDADEIRO;E6_OTHER_FAIL;A2;TN;correct;agree_false
OP051;gemini;gemini-3-flash-preview;S3;S3;oracle;VERDADEIRO;2;1;FALSO;FALSO;FALSO;VERDADEIRO;VERDADEIRO;2;1583;123;1706;oráculo_testes;S3;;;FALSO;FALSO;VERDADEIRO;E1_INPUT;A3;TN;correct;agree_false
OP052;gemini;gemini-3-flash-preview;S3;S3;oracle;VERDADEIRO;2;1;FALSO;FALSO;FALSO;VERDADEIRO;VERDADEIRO;1;1563;80;1643;oráculo_testes;S3;pede_ação|negação;;FALSO;FALSO;VERDADEIRO;E6_OTHER_FAIL;A3;TN;correct;agree_false
OP053;gemini;gemini-3-flash-preview;S3;S3;oracle;VERDADEIRO;3;2;FALSO;FALSO;FALSO;VERDADEIRO;VERDADEIRO;2;1531;123;1654;oráculo_testes;S3;pede_ação;;FALSO;FALSO;VERDADEIRO;E6_OTHER_FAIL;A3;TN;correct;agree_false
OP054;gemini;gemini-3-flash-preview;S1;S1;oracle;VERDADEIRO;2;0;FALSO;FALSO;FALSO;VERDADEIRO;VERDADEIRO;2;1604;82;1686;oráculo_testes;S1;pendência;;FALSO;FALSO;VERDADEIRO;E4_SYNTAX;A2;TN;correct;agree_false
OP055;gemini;gemini-3-flash-preview;S1;S1;oracle;VERDADEIRO;2;0;FALSO;FALSO;FALSO;VERDADEIRO;VERDADEIRO;1;1309;72;1381;oráculo_testes;S1;;;FALSO;FALSO;VERDADEIRO;E1_INPUT;A2;TN;correct;agree_false
OP056;gemini;gemini-3-flash-preview;S1;S1;oracle;VERDADEIRO;2;0;FALSO;FALSO;FALSO;VERDADEIRO;VERDADEIRO;2;1578;73;1651;oráculo_testes;S1;pendência|pede_ação;;FALSO;FALSO;VERDADEIRO;E6_OTHER_FAIL;A2;TN;correct;agree_false
OP057;gemini;gemini-3-flash-preview;S3;S3;oracle;VERDADEIRO;3;2;FALSO;FALSO;FALSO;VERDADEIRO;VERDADEIRO;2;1726;117;1843;oráculo_testes;S3;pede_ação;afirma_correcao;VERDADEIRO;VERDADEIRO;VERDADEIRO;E6_OTHER_FAIL;A3;TN;correct;agree_false
OP058;gemini;gemini-3-flash-preview;S3;S3;oracle;VERDADEIRO;2;1;FALSO;FALSO;FALSO;VERDADEIRO;VERDADEIRO;2;1645;163;1808;oráculo_testes;S3;;;FALSO;FALSO;VERDADEIRO;E6_OTHER_FAIL;A3;TN;correct;agree_false
OP059;gemini;gemini-3-flash-preview;S1;S1;oracle;VERDADEIRO;2;0;FALSO;FALSO;FALSO;VERDADEIRO;VERDADEIRO;1;1829;81;1910;oráculo_testes;S1;;;VERDADEIRO;VERDADEIRO;VERDADEIRO;E1_INPUT;A2;TN;correct;agree_false
OP060;gemini;gemini-3-flash-preview;S4;S4;oracle;VERDADEIRO;2;2;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;2;1985;80;2065;oráculo_testes;S4;;elogio;VERDADEIRO;FALSO;FALSO;E7_OK;A4;TP;correct;agree_true
OP061;gemini;gemini-3-flash-preview;S1;S1;oracle;VERDADEIRO;3;0;FALSO;FALSO;FALSO;VERDADEIRO;VERDADEIRO;2;1273;99;1372;oráculo_testes;S1;pede_ação;;FALSO;FALSO;VERDADEIRO;E3_MATH;A2;TN;correct;agree_false
OP062;gemini;gemini-3-flash-preview;S3;S3;oracle;VERDADEIRO;3;2;FALSO;FALSO;FALSO;VERDADEIRO;VERDADEIRO;2;1565;94;1659;oráculo_testes;S3;pendência|pede_ação;;FALSO;FALSO;VERDADEIRO;E3_MATH;A3;TN;correct;agree_false
OP063;gemini;gemini-3-flash-preview;S1;S1;no_oracle;FALSO;0;0;;VERDADEIRO;FALSO;VERDADEIRO;VERDADEIRO;1;1515;60;1575;regras_estágio_texto;S1;;elogio;VERDADEIRO;FALSO;FALSO;NO_TESTS;A1;NA;NA;M+/D-
OP064;gemini;gemini-3-flash-preview;S4;S4;oracle;VERDADEIRO;2;2;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;2;1515;71;1586;oráculo_testes;S4;;elogio;VERDADEIRO;FALSO;FALSO;E7_OK;A4;TP;correct;agree_true
OP065;gemini;gemini-3-flash-preview;S1;S1;oracle;VERDADEIRO;2;0;FALSO;FALSO;FALSO;VERDADEIRO;VERDADEIRO;1;1230;74;1304;oráculo_testes;S1;pede_ação|negação;;FALSO;FALSO;VERDADEIRO;E2_TYPE;A2;TN;correct;agree_false
OP066;gemini;gemini-3-flash-preview;S1;S4;no_oracle;FALSO;0;0;;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;1;1614;62;1676;regras_estágio_texto;S1;;afirma_correcao;FALSO;FALSO;FALSO;NO_TESTS;A1;NA;NA;agree_true
OP067;gemini;gemini-3-flash-preview;S1;S1;no_oracle;FALSO;0;0;;VERDADEIRO;FALSO;VERDADEIRO;VERDADEIRO;1;1605;64;1669;regras_estágio_texto;S1;;elogio;VERDADEIRO;FALSO;FALSO;NO_TESTS;A1;NA;NA;M+/D-
OP068;gemini;gemini-3-flash-preview;S1;S1;oracle;VERDADEIRO;1;0;FALSO;FALSO;FALSO;VERDADEIRO;VERDADEIRO;2;1383;77;1460;oráculo_testes;S1;;;FALSO;FALSO;VERDADEIRO;E5_OUTPUT;A2;TN;correct;agree_false
OP069;gemini;gemini-3-flash-preview;S3;S3;oracle;VERDADEIRO;2;1;FALSO;FALSO;FALSO;VERDADEIRO;VERDADEIRO;2;1589;124;1713;oráculo_testes;S3;pede_ação;;FALSO;FALSO;VERDADEIRO;E6_OTHER_FAIL;A3;TN;correct;agree_false
OP070;gemini;gemini-3-flash-preview;S4;S4;oracle;VERDADEIRO;3;3;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;1;1497;63;1560;oráculo_testes;S4;;elogio;VERDADEIRO;FALSO;FALSO;E7_OK;A4;TP;correct;agree_true
OP071;gemini;gemini-3-flash-preview;S1;S1;no_oracle;FALSO;0;0;;FALSO;FALSO;VERDADEIRO;VERDADEIRO;2;1703;75;1778;json_flag;S1;pede_ação;;FALSO;FALSO;FALSO;NO_TESTS;A1;NA;NA;agree_false
OP072;gemini;gemini-3-flash-preview;S1;S1;oracle;VERDADEIRO;2;0;FALSO;FALSO;FALSO;VERDADEIRO;VERDADEIRO;2;1340;94;1434;oráculo_testes;S1;negação;;FALSO;FALSO;VERDADEIRO;E4_SYNTAX;A2;TN;correct;agree_false
OP073;gemini;gemini-3-flash-preview;S1;S1;no_oracle;FALSO;0;0;;VERDADEIRO;FALSO;VERDADEIRO;VERDADEIRO;1;1466;57;1523;regras_estágio_texto;S1;pendência;;VERDADEIRO;FALSO;FALSO;NO_TESTS;A1;NA;NA;M+/D-
OP074;gemini;gemini-3-flash-preview;S3;S3;oracle;VERDADEIRO;2;1;FALSO;FALSO;FALSO;VERDADEIRO;VERDADEIRO;2;1613;97;1710;oráculo_testes;S3;pendência|pede_ação;;FALSO;FALSO;VERDADEIRO;E6_OTHER_FAIL;A3;TN;correct;agree_false
OP075;gemini;gemini-3-flash-preview;S1;S1;oracle;VERDADEIRO;2;0;FALSO;FALSO;FALSO;VERDADEIRO;VERDADEIRO;1;1212;67;1279;oráculo_testes;S1;pede_ação;;FALSO;FALSO;VERDADEIRO;E2_TYPE;A2;TN;correct;agree_false
OP076;gemini;gemini-3-flash-preview;S1;S1;oracle;VERDADEIRO;2;0;FALSO;FALSO;FALSO;VERDADEIRO;VERDADEIRO;2;1375;88;1463;oráculo_testes;S1;pede_ação;;FALSO;FALSO;VERDADEIRO;E3_MATH;A2;TN;correct;agree_false
OP077;gemini;gemini-3-flash-preview;S1;S1;oracle;VERDADEIRO;2;0;FALSO;FALSO;FALSO;VERDADEIRO;VERDADEIRO;2;1492;85;1577;oráculo_testes;S1;pede_ação;;FALSO;FALSO;VERDADEIRO;E1_INPUT;A2;TN;correct;agree_false
OP078;gemini;gemini-3-flash-preview;S1;S1;no_oracle;FALSO;0;0;;VERDADEIRO;FALSO;VERDADEIRO;VERDADEIRO;1;1659;56;1715;regras_estágio_texto;S1;pede_ação;elogio;VERDADEIRO;FALSO;FALSO;NO_TESTS;A1;NA;NA;M+/D-
OP079;gemini;gemini-3-flash-preview;S1;S1;no_oracle;FALSO;0;0;;VERDADEIRO;FALSO;VERDADEIRO;VERDADEIRO;1;1572;64;1636;regras_estágio_texto;S1;;elogio;VERDADEIRO;FALSO;FALSO;NO_TESTS;A1;NA;NA;M+/D-
OP080;gemini;gemini-3-flash-preview;S1;S1;oracle;VERDADEIRO;2;0;FALSO;VERDADEIRO;FALSO;VERDADEIRO;VERDADEIRO;1;1417;62;1479;oráculo_testes;S1;;;FALSO;FALSO;VERDADEIRO;E5_OUTPUT;A2;FP;correct;M+/D-
OP081;gemini;gemini-3-flash-preview;S3;S3;oracle;VERDADEIRO;2;1;FALSO;FALSO;FALSO;VERDADEIRO;VERDADEIRO;2;1539;115;1654;oráculo_testes;S3;;;VERDADEIRO;VERDADEIRO;VERDADEIRO;E3_MATH;A3;TN;correct;agree_false
OP082;gemini;gemini-3-flash-preview;S1;S1;no_oracle;FALSO;0;0;;FALSO;FALSO;VERDADEIRO;VERDADEIRO;1;1546;83;1629;json_flag;S1;pendência|pede_ação;;FALSO;FALSO;FALSO;NO_TESTS;A1;NA;NA;agree_false
OP083;gemini;gemini-3-flash-preview;S3;S3;oracle;VERDADEIRO;2;1;FALSO;FALSO;FALSO;VERDADEIRO;VERDADEIRO;2;1717;127;1844;oráculo_testes;S3;pede_ação;;FALSO;FALSO;VERDADEIRO;E1_INPUT;A3;TN;correct;agree_false
OP084;gemini;gemini-3-flash-preview;S3;S3;oracle;VERDADEIRO;2;1;FALSO;FALSO;FALSO;VERDADEIRO;VERDADEIRO;2;1725;104;1829;oráculo_testes;S3;pede_ação;;FALSO;FALSO;VERDADEIRO;E6_OTHER_FAIL;A3;TN;correct;agree_false
OP085;gemini;gemini-3-flash-preview;S1;S1;oracle;VERDADEIRO;2;0;FALSO;FALSO;FALSO;VERDADEIRO;VERDADEIRO;1;1350;82;1432;oráculo_testes;S1;pede_ação;;FALSO;FALSO;VERDADEIRO;E5_OUTPUT;A2;TN;correct;agree_false
OP086;gemini;gemini-3-flash-preview;S1;S1;oracle;VERDADEIRO;2;0;FALSO;FALSO;FALSO;VERDADEIRO;VERDADEIRO;2;1426;69;1495;oráculo_testes;S1;pede_ação;;FALSO;FALSO;VERDADEIRO;E4_SYNTAX;A2;TN;correct;agree_false
OP087;gemini;gemini-3-flash-preview;S1;S1;no_oracle;FALSO;0;0;;FALSO;FALSO;VERDADEIRO;VERDADEIRO;2;1459;88;1547;json_flag;S1;pendência;;FALSO;FALSO;FALSO;NO_TESTS;A1;NA;NA;agree_false
OP088;gemini;gemini-3-flash-preview;S1;S1;oracle;VERDADEIRO;2;0;FALSO;FALSO;FALSO;VERDADEIRO;VERDADEIRO;2;1287;81;1368;oráculo_testes;S1;;;FALSO;FALSO;VERDADEIRO;E4_SYNTAX;A2;TN;correct;agree_false
